paIsTranslatable,FORMAT,INITIAL,MANDATORY,DECIMALS,paDecimalInformation,EXTENT,paDescriptionACM,paDomainType,LOB-SIZE,CLOB-CODEPAGE,paIsBlockable,CASE-SENSITIVE,paDomainSubType,DATA-TYPE,CLOB-COLLATION,CLOB-TYPE,name,id,parent,schema_Id
"","","","","","","","","","","","","","","","","","Account Consumption Delivery Costs","PA0292:pA:d80fcd5adb1d01b3df11e94d7bc2f54d","PA0292:pA:27f5d508352b46e0b36f63cb38910d63",0
"","","","","","","","","","","","","","","","","","Account Consumption Labor","PA0292:pA:b70c5bc008a046fa97f8c768ee717e40","PA0292:pA:27f5d508352b46e0b36f63cb38910d63",0
"","","","","","","","","","","","","","","","","","Account Consumption Machine","PA0292:pA:bc308ae381ca473d8f014fb0d65e4821","PA0292:pA:27f5d508352b46e0b36f63cb38910d63",0
"","","","","","","","","","","","","","","","","","Account Consumption Material","PA0292:pA:ee80907d5ee44d7f92bb9ea3851ff84b","PA0292:pA:27f5d508352b46e0b36f63cb38910d63",0
"","","","","","","","","","","","","","","","","","Account Cost of Sales Addit Dimension","PA0292:pA:d80fcd5adb1d01b3df11e84d554cdda8","PA0292:pA:27f5d508352b46e0b36f63cb38910d63",0
"","","","","","","","","","","","","","","","","","Account Cost of Sales Delivery Costs","PA0292:pA:d80fcd5adb1d01b3df11e84dd5260275","PA0292:pA:27f5d508352b46e0b36f63cb38910d63",0
"","","","","","","","","","","","","","","","","","Account Cost of Sales Labor","PA0292:pA:0c80c240509b49718cdb865b07a0b8c6","PA0292:pA:27f5d508352b46e0b36f63cb38910d63",0
"","","","","","","","","","","","","","","","","","Account Cost of Sales Machine","PA0292:pA:ae19818891a34dad96148f6bec1fae57","PA0292:pA:27f5d508352b46e0b36f63cb38910d63",0
"","","","","","","","","","","","","","","","","","Account Cost of Sales Material","PA0292:pA:547f19a83af14f60b1057808c8035966","PA0292:pA:27f5d508352b46e0b36f63cb38910d63",0
"","\nx(60)\n","","","","","","","","","","","","","","","","Account Holder","PA0292:pA:f8a17a2d3cfcacbadc11fe6531a7fda1","PA0292:pA:2b5ba83b58b344d7b834eb362d471e9f",0
"","\nzzzzzzzz\n","","","","","","","","","","","","","","","","Account ID","PA0292:pA:1dfcad459a054ef4a98b67c720af5fa5","PA0292:pA:46068d1d97b645a9bdd5ba46095cf04b",0
"","","","","","","","","","","","","","","","","","Acquisition Date","PA0292:pA:4773850a34b04ec89d63cae17a85f758","PA0292:pA:c62df1ca3b017e91db11881501a00099",0
"","","","\nno\n","","","","","","","","","","","","","","act Date","PA0292:pA:58d0a90bba3847e280422be2525b9666","PA0292:pA:c62df1ca3b017e91db11881501a00099",0
"","","","","","","","","","","","","","","","","","Active","PA0292:pA:770ef9c4b4594022a40dd2960adc2e0b","PA0292:pA:cbd2ae6a15984e68a6bcd044fe86a24a",0
"","","","","","","","","","","","","","","","","","active Menus","PA0292:pA:856995ff6150442da641cc2be4731581","PA0292:pA:91e3631301ef45a8aaf68505fcc136ef",0
"","","\nno\n","","","","","","","","","","","","","","","Active [ino]","PA0292:pA:05aba160c1584ed9b4a7a6a56443e5a7","PA0292:pA:770ef9c4b4594022a40dd2960adc2e0b",0
"","\nx(20)\n","","","","","","","","","","","","","","","","Activity (Materials)","PA0292:pA:4dd64bef138e41789dff7cd702d8c5a8","PA0292:pA:cc967f803f2a4b5babccd120fc7bafd8",0
"","","","\nno\n","","","","","","","","","","","","","","Activity (Materials) [nm]","PA0292:pA:e5c0258544c72587db11500715146fe3","PA0292:pA:4dd64bef138e41789dff7cd702d8c5a8",0
"","\n99\n","","","","","","","","","","","","","","","","Activity Type","PA0292:pA:d4f9c3b796bdfd99db11750a192dfa1a","PA0292:pA:8c81ff21cf551885db11ca08be59833c",0
"","","","","","","","","","","","","","","","","","Actual Activity Info","PA0292:pA:d6e1d0611b163786db111bb57fa584e2","PA0292:pA:9cb5868de4337eacdc1135c823c92b57",0
